Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,1.34375,1.421875,1.28125,1.3125,0.5965051054954529,9643200
2000-01-05,1.25,1.328125,1.25,1.328125,0.6036064624786377,4288000
2000-01-06,1.296875,1.3125,1.2062499523162842,1.225000023841858,0.5567381381988525,5529600
2000-01-07,1.225000023841858,1.3125,1.225000023841858,1.3125,0.5965051054954529,16616000
2000-01-10,1.359375,1.375,1.34375,1.375,0.624910295009613,23136000
2000-01-11,1.4375,1.4375,1.328125,1.359375,0.617808997631073,3640000
2000-01-12,1.34375,1.34375,1.265625,1.28125,0.5823027491569519,4611200
2000-01-13,1.28125,1.28125,1.265625,1.28125,0.5823027491569519,2384000
2000-01-14,1.28125,1.28125,1.225000023841858,1.2312500476837158,0.5595787763595581,3203200
2000-01-17,1.225000023841858,1.25,1.149999976158142,1.149999976158142,0.5226521492004395,13869120
2000-01-18,1.15625,1.15625,1.0812499523162842,1.1062500476837158,0.5027688145637512,18422400
2000-01-19,1.1062500476837158,1.1437499523162842,1.0812499523162842,1.09375,0.4970877170562744,10758400
2000-01-20,1.1124999523162842,1.1124999523162842,0.949999988079071,0.9750000238418579,0.44311824440956116,26857600
2000-01-21,0.96875,1.0750000476837158,0.96875,1.0499999523162842,0.4772040545940399,24275200
2000-01-24,1.0625,1.09375,1.0499999523162842,1.0625,0.48288509249687195,9398400
2000-01-25,1.0625,1.0812499523162842,1.024999976158142,1.024999976158142,0.4658420979976654,5843200
2000-01-26,1.0625,1.100000023841858,1.024999976158142,1.024999976158142,0.4658420979976654,5696000
2000-01-27,1.0437500476837158,1.0437500476837158,0.918749988079071,0.918749988079071,0.4175536632537842,27897600
2000-01-28,0.9312499761581421,0.9750000238418579,0.9125000238418579,0.925000011920929,0.4203942120075226,19849600
2000-01-31,0.90625,0.918749988079071,0.875,0.887499988079071,0.4033510684967041,13067200
2000-02-01,0.893750011920929,0.90625,0.831250011920929,0.8374999761581421,0.3806270658969879,9440000
2000-02-02,0.8374999761581421,0.856249988079071,0.7749999761581421,0.78125,0.3550626039505005,17870400
2000-02-03,0.7749999761581421,0.84375,0.75,0.8374999761581421,0.3806270658969879,39401600
2000-02-08,0.84375,0.862500011920929,0.7875000238418579,0.793749988079071,0.3607436716556549,12713600
2000-02-09,0.800000011920929,0.8125,0.7875000238418579,0.793749988079071,0.3607436716556549,35573760
2000-02-10,0.7875000238418579,0.856249988079071,0.7875000238418579,0.856249988079071,0.38914865255355835,17124800
2000-02-11,0.8812500238418579,0.918749988079071,0.856249988079071,0.893750011920929,0.4061916172504425,25979200
2000-02-14,0.90625,0.90625,0.824999988079071,0.8500000238418579,0.3863081634044647,15390400
2000-02-15,0.84375,0.875,0.7875000238418579,0.824999988079071,0.37494605779647827,15721600
2000-02-16,0.824999988079071,0.831250011920929,0.793749988079071,0.793749988079071,0.3607436716556549,7692800
2000-02-17,0.793749988079071,0.824999988079071,0.793749988079071,0.824999988079071,0.37494605779647827,11526400
